track_title,artist,album_title,duration,genre
Aaj Ei Dintake,Kishore Kumar,Ei Toh Aamader Kishore,04:27,Bengali New Release Hot 30
Amar Moner Manush Bondhu Tumi,Miss Liton,Amar Moner Manush Bondhu Tumi,07:30,Bengali New Release Hot 30
Vinno Thikana,Gogon Sakib,Vinno Thikana,02:45,Bengali New Release Hot 30
"Chele Tor Preme Porar Karon, Pt. 6",Sumi Shabnam,Chele Tor Preme Porar Karon,04:22,Bengali New Release Hot 30
"Chele Tor Preme Porar Karon, Pt. 4",Sumi Shabnam,Chele Tor Preme Porar Karon,02:38,Bengali New Release Hot 30
Keu Bojhe Na Moner Betha,Forida Pervin,Keu Bojhe Na Moner Betha,04:45,Bengali New Release Hot 30
Chele Tor Preme Porar Karon,Sumi Shabnam,Chele Tor Preme Porar Karon,03:00,Bengali New Release Hot 30
Neel Rang Chilo Bhishan Priyo - LoFi,Rupam Islam,Bengali LoFi Hits,05:56,Bengali New Release Hot 30
Dekhechhi Rupshagore,Mahtim Shakib,Dekhechhi Rupshagore,03:55,Bengali New Release Hot 30
Nithor Deho,Adnan Kabir,Nithor Deho,04:54,Bengali New Release Hot 30
Kolkete Ganja Bhore Mar Beta Dam,Rajesh Shaw,Kolkete Ganja Bhore Mar Beta Dam,04:15,Bengali New Release Hot 30
Boka Pakhi Apon Chinlo Na,Atif Ahmed Niloy,Boka Pakhi Apon Chinlo Na,04:37,Bengali New Release Hot 30
Golaper Papri,Gogon Sakib,Golaper Papri,03:15,Bengali New Release Hot 30
Chele Tor Preme Porar Karon,Sumi Shabnam,Chele Tor Preme Porar Karon,03:50,Bengali New Release Hot 30
Boro Meye,"Gogon Sakib, Sumaiya",Boro Meye,03:09,Bengali New Release Hot 30
Koyal Ne Surje Aamar,"Madhusmita, Anand, Milind",Koyal Ne Surje Aamar,05:36,Bengali New Release Hot 30
Mone Pore Ruby Ray - LoFi,R.D. Burman,Bengali LoFi Hits,03:48,Bengali New Release Hot 30
"Ekta Chobi Ekechi_(From""Tui Je Amar"")","Shaan, Alka Yagnik",Shaan Bengali Non Stop Hits Part 1,04:48,Bengali New Release Hot 30
"O Tomari Cholar Pothe_(From""Paribartan"")","Alka Yagnik, Shaan",Shaan Bengali Duet Hits Jukebox Part 1,04:06,Bengali New Release Hot 30
"Pagol Premi Keno_(From""Master Mosai"")","Babul Supriyo, Kavita Krishnamurthy",Babul Supriyo Duet Non Stop Hits,05:05,Bengali New Release Hot 30
"Hariye Jawa Swapno Gulo_(From""Paribartan"")","Shaan, Alka Yagnik",Shaan Bengali Duet Hits Jukebox Part 1,03:13,Bengali New Release Hot 30
Jibon Amr Nosto Hoiyache,Mr. Jinna,Jibon Amr Nosto Hoiyache,03:50,Bengali New Release Hot 30
Jubayer Official,Prince Sujon,Amar moyna pakhi,04:21,Bengali New Release Hot 30
Pherari Mon - LoFi,"Babul Supriyo, Shreya Ghoshal",Bengali LoFi Hits,06:20,Bengali New Release Hot 30
"Anek Radha Krishna Eka_(From""Mama Bhagne"")",Babul Supriyo,Babul Supriyo Duet Hits Jukebox Part 1,04:19,Bengali New Release Hot 30
Keu Jaane  Naa,Arijit Singh,Raavan,04:40,Bengali Top 30
"Tapa Tini (From ""Belashuru"")","Iman Chakraborty, Ananya (Khnyada) Bhattacharjee, Upali Chatterjee","Tapa Tini (From ""Belashuru"")",04:16,Bengali Top 30
Bhalobashar Morshum Male,Arijit Singh,X=Prem,04:20,Bengali Top 30
Badam Official,"Bhuban Badyakar, Ron-E, Pragya Dutta",Badam Official,03:02,Bengali Top 30
"Ami Je Tomar (From ""Bhool Bhulaiyaa 2"")","Pritam, Shreya Ghoshal, Arijit Singh","Ami Je Tomar (From ""Bhool Bhulaiyaa 2"")",01:38,Bengali Top 30
"Ami Je Tomar (Tandav Version) [From ""Bhool Bhulaiyaa 2""]","Pritam, Arijit Singh","Ami Je Tomar (Tandav Version) [From ""Bhool Bhulaiyaa 2""]",02:23,Bengali Top 30
Bala Nacho To Dekhi,Iman Chakraborty,Bala Nacho To Dekhi,03:51,Bengali Top 30
Bismillah Title,Arijit Singh,Bismillah,05:02,Bengali Top 30
"Ei Mayabi Chander Raate (From ""Baba Baby O"")","Chamok Hasan, Ikkshita Mukherjee, Hemlata Chakraborty","Ei Mayabi Chander Raate (From ""Baba Baby O"")",03:23,Bengali Top 30
Srivalli Bengali Version,Usha Uthup,Pushpa - The Rise,03:44,Bengali Top 30
You are my Love,Ash King,Raavan,03:58,Bengali Top 30
Bhalobashar Morshum female,Shreya Ghoshal,X=Prem,04:20,Bengali Top 30
Bojhena Shey Bojhena-Lofi,"Arijit Singh, Happy Pills",Bojhena Shey Bojhena-Lofi,03:15,Bengali Top 30
Tomake Chai-Lofi,"Arijit Singh, Happy Pills",Tomake Chai-Lofi,03:57,Bengali Top 30
Ami Tor,"Javed Ali , Antara Mitra",Raavan,03:31,Bengali Top 30
Ei Bhalo Ei Kharap-Lofi,"Arijit Singh, Monali Thakur",Ei Bhalo Ei Kharap-Lofi,04:12,Bengali Top 30
Eka Ekela Mon-Lofi,Arijit Singh,Eka Ekela Mon-Lofi,04:31,Bengali Top 30
Abar Phire Ele-Lofi,"Arijit Singh, Anupam Roy, Happy Pills",Abar Phire Ele-Lofi,04:11,Bengali Top 30
Takey Olpo Kachhe Dakchi-Lofi,"Mahtim Shakib, Happy Pills",Takey Olpo Kachhe Dakchi-Lofi,02:52,Bengali Top 30
Thik Jyano Love Story 2.0,Arindom,Thik Jyano Love Story 2.0,02:51,Bengali Top 30
"Shohage Adore (From ""Belashuru"")",Anupam Roy,"Shohage Adore (From ""Belashuru"")",05:33,Bengali Top 30
Amar Mawte-Lofi,"Lopamudra Mitra, Veerdo",Amar Mawte-Lofi,02:39,Bengali Top 30
Behaya,Lagnajita Chakraborty,Ekannoborti,03:31,Bengali Top 30
Oboseshe,Arijit Singh,Oboseshe - Kishmish,03:36,Bengali Top 30
"Ki Mayay (From ""Belashuru"")","Shreya Ghoshal, Anupam Roy","Ki Mayay (From ""Belashuru"")",03:45,Bengali Top 30
O My Love-Lofi,"Kunal Ganjawala, Shreya Ghoshal",O My Love-Lofi,04:12,Bengali Top 30
Maiya Pura Dope,Ron-E,Maiya Pura Dope,03:02,Bengali Top 30
"Rongmoshal ( From ""Baba Baby O"" )","Ishan Mitra, Amit-Ishan","Rongmoshal ( From ""Baba Baby O"" )",03:17,Bengali Top 30
Kanna,Papon,Kanna - Kishmish,03:33,Bengali Top 30
Hobe Naki Bou,"Bhuban Badyakar, Keshab Dey",Hobe Naki Bou,03:30,Bengali Top 30
Piyale Bani Ganja,"Khesari Lal Yadav, Arya Sharma",Piyale Bani Ganja,04:10,Bhojpuri New Release Hot 30
Om Namah Shivay,Pramod Premi Yadav,Om Namah Shivay,03:55,Bhojpuri New Release Hot 30
Ganga Maiya,Shilpi Raj,Ganga Maiya,03:55,Bhojpuri New Release Hot 30
Shiv Jogiya Base Le Kashi Mein,Samar Singh,Shiv Jogiya Base Le Kashi Mein,04:34,Bhojpuri New Release Hot 30
Bhola Chhap Tattoo,Pramod Premi Yadav,Bhola Chhap Tattoo,03:02,Bhojpuri New Release Hot 30
Somari Bhukhal Bani,"Pramod Premi Yadav, Shivani Singh",Somari Bhukhal Bani,03:27,Bhojpuri New Release Hot 30
Mahadev Se Bada Koi Dev Nahi,Ritesh Pandey,Mahadev Se Bada Koi Dev Nahi,04:06,Bhojpuri New Release Hot 30
Bhola Sanghe Photo,Khesari Lal Yadav,Bhola Sanghe Photo,03:07,Bhojpuri New Release Hot 30
Bedarda Dard Dele Ba,"Khesari Lal Yadav, Priyanka Singh",Bedarda Dard Dele Ba,03:11,Bhojpuri New Release Hot 30
Muskuraiye Aap Dev Ghar Me Hai 2.0,"Khesari Lal Yadav, Priyanka Singh, Arya Sharma",Muskuraiye Aap Dev Ghar Me Hai 2.0,03:08,Bhojpuri New Release Hot 30
Suna Raja Pike Ganja 2,Khesari Lal Yadav,Suna Raja Pike Ganja 2,03:04,Bhojpuri New Release Hot 30
Rimjhim Barsela Sawanwa,Shilpi Raj,Rimjhim Barsela Sawanwa,03:45,Bhojpuri New Release Hot 30
Baba Ke Chela,Neelkamal Singh,Baba Ke Chela,03:35,Bhojpuri New Release Hot 30
Chala Devghar Ye Jaan,"Khesari Lal Yadav, Shilpi Raj",Chala Devghar Ye Jaan,03:47,Bhojpuri New Release Hot 30
Ghughur Baji Cham Cham,"Samar Singh, Neha Raj",Ghughur Baji Cham Cham,03:04,Bhojpuri New Release Hot 30
Dhani Puja Kare Ke Chahi,"Arvind Akela Kallu, Shilpi Raj",Dhani Puja Kare Ke Chahi,03:23,Bhojpuri New Release Hot 30
Bhola Ke Pujerin Hayi,Pramod Premi Yadav,Bhola Ke Pujerin Hayi,02:50,Bhojpuri New Release Hot 30
Nacho Bhola Ke Bhakton,"Shilpi Raj, Arvind Akela Kallu",Nacho Bhola Ke Bhakton,03:02,Bhojpuri New Release Hot 30
Le Lihala Kamariya Ropani Karake,"Samar Singh, Kavita Yadav",Le Lihala Kamariya Ropani Karake,05:26,Bhojpuri New Release Hot 30
Barse La Sawan Rim Jhim Ke,Akshara Singh,Barse La Sawan Rim Jhim Ke,03:48,Bhojpuri New Release Hot 30
Jogiyaa,Shilpi Raj,Jogiyaa,03:11,Bhojpuri New Release Hot 30
Babua La Gadi Deda,"Arvind Akela Kallu, Antra Singh Priyanka, Anjali Bharti",Babua La Gadi Deda,04:03,Bhojpuri New Release Hot 30
Jal Dhare Aiha Hamar Luliya,"Shilpi Raj, Golu Gold",Jal Dhare Aiha Hamar Luliya,03:39,Bhojpuri New Release Hot 30
Bam Bam Bole La,Khesari Lal Yadav,Bam Bam Bole La,03:20,Bhojpuri New Release Hot 30
Ganja Piye Balam,"Pramod Premi Yadav, Prity Ray",Ganja Piye Balam,03:03,Bhojpuri New Release Hot 30
Dil Ke Galti Ba,"Khesari Lal Yadav, Priyanka Singh, Arya Sharma",Dil Ke Galti Ba,03:28,Bhojpuri New Release Hot 30
Math Pa Mahadev,Neelkamal Singh,Math Pa Mahadev,03:42,Bhojpuri New Release Hot 30
Branded Buti,"Shilpi Raj, Arvind Akela Kallu",Branded Buti,03:30,Bhojpuri New Release Hot 30
Bhola Bhakt Rukega Nahi,Neelkamal Singh,Bhola Bhakt Rukega Nahi,04:01,Bhojpuri New Release Hot 30
Devghar Jaibe Railgadiya Se,"Shilpi Raj, Gunjan Singh",Devghar Jaibe Railgadiya Se,03:17,Bhojpuri New Release Hot 30
Lahariya Luta Aye Raja,Monalisa,Lahariya Luta Aye Raja,04:35,Bhojpuri Top 30
Aawa Chat ke Mar Ja,"Khesari Lal Yadav, Antra Singh Priyanka",Aawa Chat ke Mar Ja,03:29,Bhojpuri Top 30
Nathuniya,"Khesari Lal Yadav, Priyanka Singh",Nathuniya,03:34,Bhojpuri Top 30
Jhankar Orginal Music,Anupam Tiwari,Jhankar Orginal Music,04:56,Bhojpuri Top 30
Barf,"Khesari Lal Yadav, Neha Raj, Komal Singh",Barf,03:29,Bhojpuri Top 30
20 Song Hits,Nusrat Fateh Ali Khan,Hello Baby Im Bindass Londa,06:21,Bhojpuri Top 30
Ago Tuition Mein Laika Pasand Ba,"TUNTUN YADAV, Neha Raj",Ago Tuition Mein Laika Pasand Ba,02:59,Bhojpuri Top 30
Sagun Apsagun,Poonam Shastri,Sagun Apsagun,10:02,Bhojpuri Top 30
Saiya Ji Sabar Kari,"Khesari Lal Yadav, Antra Singh Priyanka",Saiya Ji Sabar Kari,03:06,Bhojpuri Top 30
Tandav Dance (Music),Gunwant Sen,Santaan: Ego Tohfa,01:02,Bhojpuri Top 30
Class Me Jhakash Badu,Pramod Premi Yadav,Class Me Jhakash Badu,03:31,Bhojpuri Top 30
Chatata Jawani Telchata,Khesari Lal Yadav,Chatata Jawani Telchata,03:28,Bhojpuri Top 30
Na Kare Jaib Ropaniya,"Samar Singh, Shilpi Raj",Na Kare Jaib Ropaniya,04:28,Bhojpuri Top 30
Pudina Ae Haseena,"Pawan Singh, Anupama Yadav",Pudina Ae Haseena,03:27,Bhojpuri Top 30
Piya Ji Ke Muski,"Priyanka Singh, Rajnish Mishra",Piya Ji Ke Muski,04:11,Bhojpuri Top 30
Hamara Jingi Me Aake,Pawan Singh,Hamara Jingi Me Aake,04:00,Bhojpuri Top 30
Ye Raja Jai Na Bahriya,Rakesh Mishra,Ye Raja Jai Na Bahriya - Single,05:50,Bhojpuri Top 30
Jhulufiya Ae Balam,Pramod Premi Yadav,Jhulufiya Ae Balam,03:41,Bhojpuri Top 30
Saree Se Tadi,"Pawan Singh, Shilpi Raj",Saree Se Tadi,03:21,Bhojpuri Top 30
Raja Ji Khoon Kaida,Shilpi Raj,Raja Ji Khoon Kaida,03:22,Bhojpuri Top 30
Naach Re Patarki 2.0,"Arvind Akela Kallu, Shilpi Raj",Naach Re Patarki 2.0,03:10,Bhojpuri Top 30
Aaj Bhar Dhil Da Dhodi Jan Chhil Da,"Bullet Raja, Neha Raj",Aaj Bhar Dhil Da Dhodi Jan Chhil Da,04:06,Bhojpuri Top 30
Saiya Davatare,"Samar Singh, Shilpi Raj",Saiya Davatare,03:17,Bhojpuri Top 30
Saiyan Ji Dilwa Mangele Gamcha Bichai Ke,"Neelkamal Singh, Shilpi Raj, Vikash Yadav, Lal Sinha",Saiyan Ji Dilwa Mangele Gamcha Bichai Ke,04:31,Bhojpuri Top 30
Sadiya La Da Balam Kalkatiya,"Samar Singh, Shilpi Raj",Sadiya La Da Balam Kalkatiya,03:20,Bhojpuri Top 30
Le Le Aayi Coca Cola,"Khesari Lal Yadav, Shilpi Raj",Le Le Aayi Coca Cola,04:38,Bhojpuri Top 30
Makai Ke Baal Le La,"Khesari Lal Yadav, Shilpi Raj",Makai Ke Baal Le La,03:31,Bhojpuri Top 30
Baigan Lela,"Khesari Lal Yadav, Antra Singh Priyanka",Baigan Lela,04:48,Bhojpuri Top 30
Hamra Ghume Ke Manwa Kare,Sweta sargam,Hamra Ghume Ke Manwa Kare,04:12,Bhojpuri Top 30
Rat Bhar Chumma Lelkai Re,"Gunjan Singh, Neha Raj",Rat Bhar Chumma Lelkai Re,03:05,Bhojpuri Top 30
Tukda Dil Ka,"Sumit Goswami, Jerry, Pranjal Dahiya",Tukda Dil Ka,02:46,Haryanvi Top 30
The Villagers,"Sumit Goswami, Jerry",The Villagers,03:03,Haryanvi Top 30
Last Peg,"Raju Punjabi, Meeta Baroda",Last Peg,03:04,Haryanvi Top 30
Heavy Ghaghra,"Sandeep Surila, Kanchan Nagar, Ajay Hooda",Heavy Ghaghra,02:48,Haryanvi Top 30
Kabootar,"Renuka Panwar, Surender Romio",Kabootar,03:40,Haryanvi Top 30
Ghana Kasoota (feat. Surbhi Jyoti),"Raftaar, Rashmeet Kaur, Surbhi Jyoti",Ghana Kasoota (feat. Surbhi Jyoti),02:49,Haryanvi Top 30
Sample Yaara Ke,Sumit Goswami,Sample Yaara Ke,03:15,Haryanvi Top 30
Reason,Khasa Aala Chahar,Reason,03:15,Haryanvi Top 30
Ha Krde,Khasa Aala Chahar,Ha Krde,03:16,Haryanvi Top 30
Teri Rahungi,"Ndee Kundu, Pranjal Dahiya",Teri Rahungi,02:41,Haryanvi Top 30
Jaat Jaatni,"Nikhil Sirohi, Vipin Foji",Jaat Jaatni,03:42,Haryanvi Top 30
Daman Chunni,Renuka Pawar,Daman Chunni,02:33,Haryanvi Top 30
Sharaab Darling,Gulzaar Chhaniwala,Sharaab Darling,03:10,Haryanvi Top 30
Rainbow,Khasa Aala Chahar,Rainbow,03:17,Haryanvi Top 30
Kah Diye,"Manisha Sharma, Bintu Pabra",Kah Diye,02:40,Haryanvi Top 30
Dil Lutda,Sumit Goswami,Dil Lutda,02:49,Haryanvi Top 30
Tere Bargi,"Diler Kharkiya, Meaow",Tere Bargi,03:03,Haryanvi Top 30
Baba Bhola,Raj Mawar,Baba Bhola,02:56,Haryanvi Top 30
CHUNDRI DELHI KI,Renuka Pawar,CHUNDRI DELHI KI,02:47,Haryanvi Top 30
Kaun Tujhe,"Renuka Panwar, Amaal Mallik",Kaun Tujhe,04:01,Haryanvi Top 30
Call Me Randa,Gulzaar Chhaniwala,Call Me Randa,03:01,Haryanvi Top 30
Chaar Chhalle Aali,Renuka Panwar,Chaar Chhalle Aali,02:09,Haryanvi Top 30
Dosh,Khasa Aala Chahar,Dosh,03:06,Haryanvi Top 30
Saiyaan,"Khatri, Akansha Tripathi, Pranjal Dahiya",Saiyaan,03:07,Haryanvi Top 30
Raataan Lambiyan (Haryanvi Version),"Renuka Panwar, Tanishk Bagchi",Raataan Lambiyan (Haryanvi Version),03:34,Haryanvi Top 30
Dekhan De,Vijay Malik,Dekhan De,03:28,Haryanvi Top 30
2 Numbari,"Masoom Sharma, Manisha Sharma",2 Numbari,03:49,Haryanvi Top 30
Hathkadi,Amit Saini Rohtakia,Hathkadi,03:10,Haryanvi Top 30
Welcome,Gulzaar Chhaniwala,Welcome,03:34,Haryanvi Top 30
Husband Bawla,"Sandeep Surila, Kanchan Nagar, Ajay Hooda",Husband Bawla,03:14,Haryanvi Top 30
